poly_id,cluster_p_moto,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,intersection_density_km2,street_density_km2,area_km2,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
0,0,41,92,4.487804878048781,6525.01211811319,70.9240447620999,3.1219512195121952,37,3625.2804157124633,53,68.40151727759364,1.004866041750792,151.59062432809904,14852.933015737372,0.24407841951965384,0.721,0.017,0.128,0.05,0.066,0.017,0.0
1,2,35,58,3.3142857142857145,8503.383562630617,146.61006142466582,2.6285714285714286,28,5806.94998360397,38,152.81447325273606,1.048295318917446,22.90826540502232,4750.969693503205,1.2222662652520775,0.373,0.194,0.092,0.146,0.195,0.0,0.0
2,2,100,201,4.02,50343.25496855023,250.46395506741408,2.22,60,28096.295796613267,106,265.05939430767233,1.3790202635504334,6.434119515386235,3012.915418250894,9.325285278975464,0.258,0.337,0.056,0.153,0.099,0.01,0.013
3,2,58,117,4.0344827586206895,17447.779355092756,149.12631927429706,2.7241379310344827,48,10328.39663535714,68,151.88818581407557,1.1599023615618407,30.576230950567464,6579.238351494663,1.5698468551471079,0.464,0.27,0.097,0.015,0.108,0.015,0.03
4,3,211,429,4.0663507109004735,119803.71021735675,279.26272777938635,2.251184834123223,130,60344.16800564273,228,264.6674035335207,1.1978504360911195,4.5045395839532025,2090.9437957087694,28.859775250528816,0.08,0.063,0.075,0.589,0.09,0.009,0.003
5,2,16,30,3.75,2530.123819567517,84.33746065225056,2.0625,8,1265.0619097837584,15,84.33746065225056,1.0876146987020079,33.97471611216069,5372.514906151379,0.23546922286530986,0.132,0.314,0.132,0.033,0.177,0.106,0.079
6,2,3,4,2.6666666666666665,697.4318262192004,174.3579565548001,1.6666666666666667,1,348.71591310960025,2,174.35795655480013,1.2931315518087918,1.9078490317425836,665.2973171793818,0.5241504874663085,0.332,0.0,0.266,0.0,0.335,0.0,0.066
7,2,18,38,4.222222222222222,15171.964404104188,399.26222116063656,2.5555555555555554,14,7585.982202052095,19,399.26222116063656,1.260579402596096,4.399409396195583,2383.8458127914605,3.182245328681297,0.071,0.61,0.0,0.034,0.285,0.0,0.0
8,1,294,721,4.904761904761905,49677.85891307611,68.9013299765272,2.9149659863945576,240,28331.774688690406,416,68.10522761704425,1.053383348534438,118.99232251406237,14046.93196313499,2.0169368487755763,0.402,0.271,0.136,0.064,0.086,0.006,0.014
9,2,63,139,4.412698412698413,17968.661037773694,129.27094271779637,2.492063492063492,44,9004.181977814813,71,126.81946447626497,1.0604646626691474,35.17397140521225,7198.019077613312,1.2509249948807277,0.15,0.385,0.168,0.07,0.111,0.035,0.016
10,2,37,76,4.108108108108108,14683.29158640911,193.20120508433038,2.108108108108108,20,7341.645793204554,38,193.20120508433038,1.250681210010108,4.962912031022476,1821.7971117300217,4.029892102657223,0.311,0.094,0.131,0.153,0.221,0.0,0.022
11,2,4,6,3.0,705.8921309543064,117.6486884923844,2.5,3,352.9460654771532,3,117.6486884923844,1.0252495530724213,15.460512828498258,1818.9090576925041,0.19404272246843718,0.767,0.0,0.153,0.0,0.022,0.057,0.0
12,2,27,47,3.4814814814814814,2875.2582062968386,61.175706516954016,2.4814814814814814,19,1510.193988998672,26,58.084384192256614,1.0183840234410946,133.56647675945032,10616.383701781722,0.14225126289898696,0.241,0.295,0.034,0.107,0.241,0.08,0.0
13,2,5,8,3.2,674.1944059699208,84.2743007462401,2.2,3,337.0972029849604,4,84.2743007462401,1.0345930840058257,24.67519983280557,2772.64694891124,0.1215795624889535,0.309,0.206,0.206,0.124,0.052,0.052,0.0
14,2,21,44,4.190476190476191,3223.496818180146,73.26129132227605,2.5714285714285716,14,1717.3696392856093,24,71.55706830356705,1.0029871736445075,56.762733445008315,6963.042504379938,0.24664069452474813,0.309,0.515,0.0,0.103,0.0,0.0,0.0
15,2,25,46,3.68,5004.633406628435,108.79637840496598,2.28,16,2892.4425631466192,27,107.12750233876368,1.1722007818419555,8.198532412190257,1482.1115065222639,1.9515687925085075,0.266,0.17,0.28,0.023,0.138,0.026,0.006
16,2,29,60,4.137931034482759,12328.87382413774,205.48123040229567,2.5172413793103448,21,6164.436912068865,30,205.4812304022955,1.175098032480378,18.9927735590191,5575.226399513471,1.105683692523556,0.395,0.226,0.165,0.099,0.072,0.029,0.0
17,2,24,50,4.166666666666667,6081.931299940172,121.63862599880343,2.375,16,3415.579464811535,27,126.50294314116798,1.2419757218307972,16.222235477438655,3463.0208981297887,0.9863005639544727,0.056,0.341,0.298,0.0,0.022,0.0,0.0
18,0,34,48,2.823529411764706,4633.750371974492,96.53646608280191,3.0,33,4260.6468233998985,44,96.83288234999769,1.1901326957471101,120.95107747530497,15616.05527369555,0.2728375859796514,0.033,0.188,0.437,0.151,0.113,0.066,0.001
19,2,27,40,2.962962962962963,4523.751416998689,113.09378542496722,2.8518518518518516,24,3845.8765419253964,34,113.11401593898225,1.0282800288291756,65.6473390861726,10519.648392972224,0.3655898370609687,0.109,0.084,0.331,0.126,0.267,0.047,0.0
20,1,171,300,3.508771929824561,20040.191356588468,66.8006378552949,2.9707602339181287,143,15802.792381543477,235,67.24592502784458,1.02828979963546,160.2644619248789,17710.67145411637,0.8922751699439686,0.31,0.146,0.152,0.182,0.109,0.038,0.014
21,2,16,22,2.75,3639.1577200454444,165.41626000206566,3.125,16,2559.097493014074,19,134.68934173758285,1.1223257016564625,41.410033080010386,6623.269490042779,0.38637979276871387,0.0,0.205,0.267,0.104,0.424,0.0,0.0
22,2,8,10,2.5,1419.9974921070275,141.99974921070276,3.125,8,1348.2435252116752,9,149.8048361346306,1.1117504746921185,32.43757553222405,5466.7188981107165,0.2466275567374837,0.412,0.162,0.152,0.069,0.069,0.069,0.0
23,2,58,101,3.4827586206896552,9053.392018791717,89.63754474051206,2.4482758620689653,41,5148.937780018827,62,83.04738354869076,1.100513353225899,66.67277365318627,8373.023491744749,0.6149436682096189,0.019,0.046,0.063,0.562,0.156,0.054,0.005
26,2,47,92,3.9148936170212765,21820.12262611954,237.17524593608195,2.0638297872340425,25,10910.061313059767,46,237.1752459360819,1.487030542566572,2.384958750243011,1040.8018477707858,10.482361591139751,0.211,0.295,0.097,0.096,0.106,0.008,0.009
27,2,5,8,3.2,443.688639139319,55.46107989241487,1.8,2,221.8443195696595,4,55.46107989241487,1.1416082746073457,8.716710037362075,966.8763035623053,0.22944436506749477,0.0,0.076,0.458,0.076,0.153,0.153,0.051
28,0,34,52,3.0588235294117645,6722.272708763554,129.27447516852988,3.264705882352941,34,5820.33040521051,48,121.25688344188563,1.011759828795881,66.555269058524,11393.342827302751,0.5108536180674561,0.08,0.037,0.45,0.207,0.184,0.018,0.0
29,1,108,255,4.722222222222222,21180.83368866885,83.06209289674058,2.814814814814815,92,11379.811022003736,137,83.06431402922435,1.093433429366558,95.8351524896423,11854.194832576522,0.9599817771453247,0.372,0.145,0.186,0.052,0.146,0.005,0.025
30,1,149,336,4.510067114093959,20704.175384585073,61.61956959697938,2.38255033557047,100,10352.087692292536,168,61.61956959697938,1.0929314157373906,160.84454438845992,16650.768283361765,0.6217183205075787,0.571,0.2,0.114,0.0,0.057,0.057,0.0
31,2,5,10,4.0,879.2407928331237,87.92407928331237,2.6,4,439.6203964165619,5,87.92407928331238,1.155668285736794,7.279839225104517,800.0914514973211,0.5494626840392305,0.496,0.103,0.062,0.059,0.094,0.089,0.0
32,0,62,118,3.806451612903226,9508.779454835798,80.58287673589659,3.0,60,6083.302551777186,83,73.29280182864079,1.0229073152143369,116.68454500290352,11830.456506152046,0.5142069157359871,0.114,0.076,0.116,0.41,0.067,0.086,0.034
33,0,35,73,4.171428571428572,4418.010973187045,60.520698262836234,2.657142857142857,28,2459.2020062123397,41,59.980536736886336,1.0029091034183928,98.90216185681261,8686.442673464682,0.2831080683609071,0.171,0.152,0.228,0.176,0.144,0.073,0.012
34,0,56,144,5.142857142857143,9729.397433051749,67.56525995174826,2.75,44,4912.643224132905,73,67.29648252236856,1.0269702223080266,115.61075933039507,12908.054851393757,0.3805874146562414,0.243,0.159,0.12,0.088,0.162,0.078,0.0
35,0,32,66,4.125,3816.4616974539217,57.82517723415033,3.09375,27,2517.8524982040053,44,57.22392041372739,1.0236772177705886,140.87003779342183,13136.665799268882,0.19166602368343236,0.167,0.233,0.167,0.12,0.188,0.042,0.021
36,1,141,368,5.219858156028369,24723.780054326366,67.1841849302347,2.971631205673759,124,13156.586685270855,194,67.81745714057142,1.0215815567855542,249.05918052274637,26425.55401862932,0.49787363685907243,0.463,0.286,0.036,0.041,0.097,0.053,0.0
37,2,9,18,4.0,1630.450710186879,90.58059501038217,2.111111111111111,5,815.2253550934395,9,90.58059501038217,1.0814677341500711,18.675874839372245,3045.009339521574,0.2677250754250646,0.589,0.145,0.112,0.055,0.099,0.0,0.0
38,0,13,25,3.8461538461538463,2287.01879751721,91.48075190068839,2.6153846153846154,10,1324.3536870114651,14,94.59669192939036,1.0288745375899582,146.63691301701226,19419.91364060597,0.06819565274699856,0.386,0.2,0.182,0.0,0.126,0.018,0.0
39,2,5,8,3.2,1058.8386872511196,132.35483590638995,2.6,4,529.4193436255598,4,132.35483590638995,1.4286598893779552,27.538343405413872,3644.832922557369,0.1452520197425392,0.711,0.171,0.039,0.0,0.079,0.0,0.0
41,0,16,36,4.5,2836.803747183992,78.80010408844423,2.9375,13,1418.4018735919965,18,78.80010408844424,1.0657487909218766,77.61795219165178,8468.726831770222,0.16748702629902956,0.54,0.122,0.148,0.0,0.12,0.027,0.042
42,2,6,10,3.3333333333333335,780.8335166908471,78.0833516690847,2.6666666666666665,5,390.41675834542355,5,78.0833516690847,1.0146466919663595,51.69045177066789,4036.163723542923,0.09672966338509127,0.153,0.469,0.323,0.0,0.0,0.0,0.0
43,0,18,48,5.333333333333333,2417.730457928197,50.36938454017078,3.3333333333333335,18,1208.8652289640988,24,50.369384540170785,1.1654669477323343,106.38154195763711,7144.497059787382,0.16920228517808003,0.46,0.077,0.275,0.026,0.107,0.025,0.0
44,0,16,28,3.5,1503.5081868109592,53.696720957534254,3.1875,16,976.7480754024017,18,54.263781966800096,1.031492529194692,326.61486540367287,19938.777573803247,0.04898736002179549,0.64,0.08,0.2,0.0,0.08,0.0,0.0
