indexA,indexB,area_ratio,street_pattern,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
0.0,12.0,0.9949182520355558,gridiron,0.721,0.017,0.128,0.05,0.066,0.017,0.0
1.0,15.0,0.9997465241761582,cul_de_sac,0.373,0.194,0.092,0.146,0.195,0.0,0.0
2.0,16.0,0.999156408192112,organico,0.258,0.337,0.056,0.153,0.099,0.01,0.013
3.0,17.0,0.9965597482226124,organico,0.464,0.27,0.097,0.015,0.108,0.015,0.03
4.0,18.0,0.9994408659220496,hibrido,0.08,0.063,0.075,0.589,0.09,0.009,0.003
5.0,19.0,0.9951937180250564,cul_de_sac,0.132,0.314,0.132,0.033,0.177,0.106,0.079
6.0,20.0,0.99389008225184,hibrido,0.332,0.0,0.266,0.0,0.335,0.0,0.066
7.0,21.0,0.9979587163079218,organico,0.071,0.61,0.0,0.034,0.285,0.0,0.0
8.0,24.0,0.9972324611858424,hibrido,0.402,0.271,0.136,0.064,0.086,0.006,0.014
9.0,25.0,0.9961273327986822,cul_de_sac,0.15,0.385,0.168,0.07,0.111,0.035,0.016
10.0,26.0,0.9990644843225036,organico,0.311,0.094,0.131,0.153,0.221,0.0,0.022
11.0,27.0,0.9917559407148198,cul_de_sac,0.767,0.0,0.153,0.0,0.022,0.057,0.0
12.0,28.0,0.9952763584454304,gridiron,0.241,0.295,0.034,0.107,0.241,0.08,0.0
13.0,29.0,0.9937186588231604,cul_de_sac,0.309,0.206,0.206,0.124,0.052,0.052,0.0
14.0,30.0,0.9940093974632797,hibrido,0.309,0.515,0.0,0.103,0.0,0.0,0.0
15.0,31.0,0.9967116039266456,hibrido,0.266,0.17,0.28,0.023,0.138,0.026,0.006
16.0,32.0,0.9962218715724224,organico,0.395,0.226,0.165,0.099,0.072,0.029,0.0
17.0,33.0,0.9961887365835344,organico,0.056,0.341,0.298,0.0,0.022,0.0,0.0
18.0,34.0,0.9930830295711072,organico,0.033,0.188,0.437,0.151,0.113,0.066,0.001
19.0,35.0,0.9966836646395956,gridiron,0.109,0.084,0.331,0.126,0.267,0.047,0.0
20.0,36.0,0.998396930652694,gridiron,0.31,0.146,0.152,0.182,0.109,0.038,0.014
21.0,37.0,0.9968436821534696,organico,0.0,0.205,0.267,0.104,0.424,0.0,0.0
22.0,38.0,0.9970008588464958,organico,0.412,0.162,0.152,0.069,0.069,0.069,0.0
23.0,39.0,0.998074608979875,organico,0.019,0.046,0.063,0.562,0.156,0.054,0.005
24.0,40.0,0.9958026107068292,cul_de_sac,0.688,0.0,0.208,0.0,0.104,0.0,0.0
25.0,41.0,0.998002829730406,cul_de_sac,0.169,0.132,0.383,0.102,0.096,0.0,0.119
26.0,42.0,0.999433320123769,organico,0.211,0.295,0.097,0.096,0.106,0.008,0.009
27.0,43.0,0.995467053757989,cul_de_sac,0.0,0.076,0.458,0.076,0.153,0.153,0.051
28.0,44.0,0.994164003624021,gridiron,0.08,0.037,0.45,0.207,0.184,0.018,0.0
29.0,45.0,0.99698218436291,organico,0.372,0.145,0.186,0.052,0.146,0.005,0.025
30.0,46.0,0.9976321421454636,organico,0.571,0.2,0.114,0.0,0.057,0.057,0.0
31.0,47.0,0.9937272723946032,organico,0.496,0.103,0.062,0.059,0.094,0.089,0.0
32.0,48.0,0.9966912327798004,gridiron,0.114,0.076,0.116,0.41,0.067,0.086,0.034
33.0,49.0,0.9973216188916466,gridiron,0.171,0.152,0.228,0.176,0.144,0.073,0.012
34.0,50.0,0.9936124370839684,gridiron,0.243,0.159,0.12,0.088,0.162,0.078,0.0
35.0,51.0,0.9978115656359944,gridiron,0.167,0.233,0.167,0.12,0.188,0.042,0.021
