,pattern_code,city_code,a,b,c,car_mode,transit_mode,bicycle_mode,walked_mode,car_share,transit_share,bicycle_share,walked_share
pattern_code,1.0,-0.027978610363668353,-0.21922016588832546,-0.37734736132774194,0.3333155124480459,0.24046302449185036,-0.3221105599751477,-0.18317454282785414,-0.1886634084998245,0.3333155124480459,-0.37734736132774194,-0.1951833751679284,-0.1944044662325246
city_code,-0.027978610363668353,1.0,-0.2725248622531805,-0.29729638652856366,0.3398659923202147,0.1310780785709464,-0.29739508449242347,-0.204225672743625,-0.243055305462791,0.3398659923202147,-0.29729638652856366,-0.2196022770042416,-0.24766098927149857
a,-0.21922016588832546,-0.2725248622531805,1.0,0.2253180300703751,-0.665955865975838,-0.459651857035405,0.15743478346752152,0.4882320391497592,0.891217821774106,-0.665955865975838,0.2253180300703751,0.5467857366139509,0.9760564504592741
b,-0.37734736132774194,-0.29729638652856366,0.2253180300703751,1.0,-0.5943093285826522,-0.4068290545155395,0.7976561486787601,0.22114970580984517,0.18937609625138846,-0.5943093285826522,1.0,0.23963657679949518,0.1896739127193058
c,0.3333155124480459,0.3398659923202147,-0.665955865975838,-0.5943093285826522,1.0,0.662919435284583,-0.45177948808298396,-0.3715463952746637,-0.5878642320817646,1.0,-0.5943093285826522,-0.41286675481403434,-0.6373504045157817
car_mode,0.24046302449185036,0.1310780785709464,-0.459651857035405,-0.4068290545155395,0.662919435284583,1.0,-0.08090357665940723,-0.16074379497206107,-0.3045778851545556,0.662919435284583,-0.4068290545155395,-0.2795987959568103,-0.441302411331847
transit_mode,-0.3221105599751477,-0.29739508449242347,0.15743478346752152,0.7976561486787601,-0.45177948808298396,-0.08090357665940723,1.0,0.30983004167347744,0.24050166936586526,-0.45177948808298396,0.7976561486787599,0.21791973629193404,0.1194150282205503
bicycle_mode,-0.18317454282785414,-0.204225672743625,0.4882320391497592,0.22114970580984517,-0.3715463952746637,-0.16074379497206107,0.30983004167347744,1.0,0.42372293782020864,-0.37154639527466377,0.22114970580984508,0.9191353837184427,0.3071111378622802
walked_mode,-0.1886634084998245,-0.243055305462791,0.891217821774106,0.18937609625138846,-0.5878642320817646,-0.3045778851545556,0.24050166936586526,0.42372293782020864,1.0,-0.5878642320817646,0.18937609625138851,0.3767814605049526,0.8985921713985429
car_share,0.3333155124480459,0.3398659923202147,-0.665955865975838,-0.5943093285826522,1.0,0.662919435284583,-0.45177948808298396,-0.37154639527466377,-0.5878642320817646,1.0,-0.5943093285826522,-0.41286675481403434,-0.6373504045157817
transit_share,-0.37734736132774194,-0.29729638652856366,0.2253180300703751,1.0,-0.5943093285826522,-0.4068290545155395,0.7976561486787599,0.22114970580984508,0.18937609625138851,-0.5943093285826522,1.0,0.23963657679949518,0.1896739127193058
bicycle_share,-0.1951833751679284,-0.2196022770042416,0.5467857366139509,0.23963657679949518,-0.41286675481403434,-0.2795987959568103,0.21791973629193404,0.9191353837184427,0.3767814605049526,-0.41286675481403434,0.23963657679949518,1.0,0.3515724190272131
walked_share,-0.1944044662325246,-0.24766098927149857,0.9760564504592741,0.1896739127193058,-0.6373504045157817,-0.441302411331847,0.1194150282205503,0.3071111378622802,0.8985921713985429,-0.6373504045157817,0.1896739127193058,0.3515724190272131,1.0
