,PC1,PC2
a,-0.34220757712328204,-0.3396692657546861
b,-0.2797141305285651,0.46962180052466374
c,0.3774102986060819,-0.04106144948242549
car_mode,0.2623820448411982,-0.0030450950594683238
transit_mode,-0.23227214812092772,0.42796955418011334
bicycle_mode,-0.24118533544412674,-0.13899168932793254
walked_mode,-0.30968329452114146,-0.31330260560874656
car_share,0.37741029860608183,-0.04106144948242518
transit_share,-0.2797141305285648,0.4696218005246637
bicycle_share,-0.25368769116784134,-0.1566326958386477
walked_share,-0.31671860649519,-0.33909468866414333
