,pattern_code,a,b,c,car_mode,transit_mode,bicycle_mode,walked_mode,car_share,transit_share,bicycle_share,walked_share
pattern_code,1.0,-0.11674017637648092,-0.20156687184694305,0.2016776128210402,0.08630390361473429,-0.16635325954504895,-0.12385123843279794,-0.1017330718957602,0.2016776128210402,-0.20156687184694305,-0.1305061622105717,-0.09355355186970024
a,-0.11674017637648092,1.0,-0.07255301496010347,-0.6791254979723729,-0.5576656514936289,-0.15251686172634518,0.35287013122901245,0.8711647226995484,-0.6791254979723729,-0.07255301496010347,0.41569358847769927,0.9745302387978232
b,-0.20156687184694305,-0.07255301496010347,1.0,-0.2956993279396238,-0.2143809840231767,0.6834282586542106,0.0727767507549444,-0.058876412169244365,-0.2956993279396238,1.0,0.06100792462623422,-0.09318429391687637
c,0.2016776128210402,-0.6791254979723729,-0.2956993279396238,1.0,0.7635083388564803,-0.09415854853126417,-0.25297253119699137,-0.5980921108316901,1.0,-0.2956993279396238,-0.2880013360456275,-0.6604245590562405
car_mode,0.08630390361473429,-0.5576656514936289,-0.2143809840231767,0.7635083388564803,1.0,0.2861037993936527,-0.11426383569932858,-0.36583908827589917,0.7635083388564803,-0.21438098402317662,-0.269787985895178,-0.5340998085284392
transit_mode,-0.16635325954504895,-0.15251686172634518,0.6834282586542106,-0.09415854853126417,0.2861037993936527,1.0,0.193883251140954,0.03353621062016549,-0.09415854853126415,0.6834282586542106,0.021505466021244146,-0.16956746227981176
bicycle_mode,-0.12385123843279794,0.35287013122901245,0.0727767507549444,-0.25297253119699137,-0.11426383569932858,0.193883251140954,1.0,0.30457483914869915,-0.2529725311969913,0.07277675075494439,0.9004323833564567,0.15803169991053503
walked_mode,-0.1017330718957602,0.8711647226995484,-0.058876412169244365,-0.5980921108316901,-0.36583908827589917,0.03353621062016549,0.30457483914869915,1.0,-0.59809211083169,-0.058876412169244316,0.23160134319432502,0.8811626236296889
car_share,0.2016776128210402,-0.6791254979723729,-0.2956993279396238,1.0,0.7635083388564803,-0.09415854853126415,-0.2529725311969913,-0.59809211083169,1.0,-0.2956993279396238,-0.2880013360456275,-0.6604245590562405
transit_share,-0.20156687184694305,-0.07255301496010347,1.0,-0.2956993279396238,-0.21438098402317662,0.6834282586542106,0.07277675075494439,-0.058876412169244316,-0.2956993279396238,1.0,0.06100792462623422,-0.09318429391687637
bicycle_share,-0.1305061622105717,0.41569358847769927,0.06100792462623422,-0.2880013360456275,-0.269787985895178,0.021505466021244146,0.9004323833564567,0.23160134319432502,-0.2880013360456275,0.06100792462623422,1.0,0.2011439590276884
walked_share,-0.09355355186970024,0.9745302387978232,-0.09318429391687637,-0.6604245590562405,-0.5340998085284392,-0.16956746227981176,0.15803169991053503,0.8811626236296889,-0.6604245590562405,-0.09318429391687637,0.2011439590276884,1.0
