,PC1,PC2
a,-0.40838387608229243,-0.17858792313778246
b,-0.09059504809196162,0.5692652557031174
c,0.40861209263101167,-0.0919249936574375
car_mode,0.3377190482182593,-0.0007544797465533215
transit_mode,-0.00825833881590711,0.4897619087111401
bicycle_mode,-0.1994381840079944,0.06191049884488553
walked_mode,-0.36352643206492413,-0.13959720070384005
car_share,0.40861209263101167,-0.09192499365743773
transit_share,-0.09059504809196149,0.5692652557031177
bicycle_share,-0.21898203932780622,0.024060064783707008
walked_share,-0.38584641309978907,-0.19827660123420054
