,pattern_code,a,b,c,car_mode,transit_mode,bicycle_mode,walked_mode,car_share,transit_share,bicycle_share,walked_share
pattern_code,1.0,-0.22654093080775492,0.09821449858100416,0.18342793282113035,0.06679664256609108,0.06996601386103105,-0.10982460193910942,-0.10353588067161716,0.18342793282113035,0.09821449858100416,-0.08085993641301287,-0.21532817533914939
a,-0.22654093080775492,1.0,-0.046535607288327265,-0.5319338853987362,-0.18373605170362953,-0.041162872080878966,0.0764523157763132,0.132178347954603,-0.5319338853987362,-0.046535607288327265,0.06925992839127994,0.9903887767289091
b,0.09821449858100416,-0.046535607288327265,1.0,-0.055966450668398046,0.036019564746580635,0.8993854342920082,0.027866857640293796,0.011001003160178732,-0.055966450668398046,1.0,0.07108744491754708,-0.05639108005669325
c,0.18342793282113035,-0.5319338853987362,-0.055966450668398046,1.0,0.2751632847954896,-0.04917045950091468,-0.0033637082067976966,-0.01891441066718788,1.0,-0.05596645066839803,-0.0023244636830953777,-0.5316069731335525
car_mode,0.06679664256609108,-0.18373605170362953,0.036019564746580635,0.2751632847954896,1.0,0.23143897212713066,0.1628708416420588,0.3829220647359291,0.27516328479548957,0.036019564746580655,-0.05259421043910191,-0.17644255505312656
transit_mode,0.06996601386103105,-0.041162872080878966,0.8993854342920082,-0.04917045950091468,0.23143897212713066,1.0,0.027347732420949546,0.14395766081794215,-0.049170459500914726,0.8993854342920082,0.002145312515846852,-0.0414599487911227
bicycle_mode,-0.10982460193910942,0.0764523157763132,0.027866857640293796,-0.0033637082067976966,0.1628708416420588,0.027347732420949546,1.0,0.10673554890430738,-0.0033637082067976575,0.027866857640293802,0.8851511442562314,-0.046269630025897346
walked_mode,-0.10353588067161716,0.132178347954603,0.011001003160178732,-0.01891441066718788,0.3829220647359291,0.14395766081794215,0.10673554890430738,1.0,-0.018914410667187964,0.011001003160178711,-0.027031539600195182,0.13592496789720016
car_share,0.18342793282113035,-0.5319338853987362,-0.055966450668398046,1.0,0.27516328479548957,-0.049170459500914726,-0.0033637082067976575,-0.018914410667187964,1.0,-0.05596645066839803,-0.0023244636830953777,-0.5316069731335525
transit_share,0.09821449858100416,-0.046535607288327265,1.0,-0.05596645066839803,0.036019564746580655,0.8993854342920082,0.027866857640293802,0.011001003160178711,-0.05596645066839803,1.0,0.07108744491754708,-0.05639108005669325
bicycle_share,-0.08085993641301287,0.06925992839127994,0.07108744491754708,-0.0023244636830953777,-0.05259421043910191,0.002145312515846852,0.8851511442562314,-0.027031539600195182,-0.0023244636830953777,0.07108744491754708,1.0,-0.06938510926428594
walked_share,-0.21532817533914939,0.9903887767289091,-0.05639108005669325,-0.5316069731335525,-0.17644255505312656,-0.0414599487911227,-0.046269630025897346,0.13592496789720016,-0.5316069731335525,-0.05639108005669325,-0.06938510926428594,1.0
