,pattern_code,a,b,c,car_mode,transit_mode,bicycle_mode,walked_mode,car_share,transit_share,bicycle_share,walked_share
pattern_code,1.0,0.32378052715135186,-0.07898622773173158,-0.17217744465057827,0.2725370326601706,-0.20269815988224504,0.15103872961762438,0.44399983956007266,-0.17217744465057827,-0.07898622773173158,0.1317806180784936,0.349454372994546
a,0.32378052715135186,1.0,-0.2590481076158242,-0.5184047699584775,-0.31864635827252014,-0.2748737979988993,0.7357845521951156,0.7466949092826941,-0.5184047699584775,-0.2590481076158242,0.7277160086634904,0.7966849917537261
b,-0.07898622773173158,-0.2590481076158242,1.0,-0.6916530498884913,-0.3724314984960674,0.9296903898556806,-0.17991724338651366,-0.20613273839881535,-0.6916530498884913,1.0,-0.18221751309963727,-0.2119277102335034
c,-0.17217744465057827,-0.5184047699584775,-0.6916530498884913,1.0,0.5680044409578037,-0.6175701663666647,-0.3908954644694668,-0.3758436515141671,1.0,-0.6916530498884916,-0.38282560975920726,-0.4080933620302996
car_mode,0.2725370326601706,-0.31864635827252014,-0.3724314984960674,0.5680044409578037,1.0,-0.23260236225835623,-0.2443180001109218,-0.05697137842680687,0.568004440957805,-0.3724314984960674,-0.25892212025258265,-0.23003488572592384
transit_mode,-0.20269815988224504,-0.2748737979988993,0.9296903898556806,-0.6175701663666647,-0.23260236225835623,1.0,-0.2038186975182582,-0.192341908592233,-0.6175701663666643,0.9296903898556806,-0.20953093380815332,-0.21061568217686494
bicycle_mode,0.15103872961762438,0.7357845521951156,-0.17991724338651366,-0.3908954644694668,-0.2443180001109218,-0.2038186975182582,1.0,0.13202519596016069,-0.39089546446946793,-0.17991724338651366,0.9966186156396296,0.17980081598447872
walked_mode,0.44399983956007266,0.7466949092826941,-0.20613273839881535,-0.3758436515141671,-0.05697137842680687,-0.192341908592233,0.13202519596016069,1.0,-0.375843651514167,-0.20613273839881535,0.11917975622206124,0.9686866147776981
car_share,-0.17217744465057827,-0.5184047699584775,-0.6916530498884913,1.0,0.568004440957805,-0.6175701663666643,-0.39089546446946793,-0.375843651514167,1.0,-0.6916530498884916,-0.38282560975920726,-0.4080933620302996
transit_share,-0.07898622773173158,-0.2590481076158242,1.0,-0.6916530498884916,-0.3724314984960674,0.9296903898556806,-0.17991724338651366,-0.20613273839881535,-0.6916530498884916,1.0,-0.18221751309963727,-0.2119277102335034
bicycle_share,0.1317806180784936,0.7277160086634904,-0.18221751309963727,-0.38282560975920726,-0.25892212025258265,-0.20953093380815332,0.9966186156396296,0.11917975622206124,-0.38282560975920726,-0.18221751309963727,1.0,0.1652190106956615
walked_share,0.349454372994546,0.7966849917537261,-0.2119277102335034,-0.4080933620302996,-0.23003488572592384,-0.21061568217686494,0.17980081598447872,0.9686866147776981,-0.4080933620302996,-0.2119277102335034,0.1652190106956615,1.0
