,PC1,PC2
a,-0.254180325335968,0.4219074207589264
b,-0.31077685698947255,-0.37307966007628124
c,0.4652132414429397,0.014825526576216108
car_mode,0.29627711565142223,-0.001802928974001805
transit_mode,-0.27887982103966097,-0.3704179102627303
bicycle_mode,-0.19750712114383806,0.3137021171592435
walked_mode,-0.17119087807528172,0.3164981010169473
car_share,0.4652132414429398,0.014825526576216053
transit_share,-0.31077685698947244,-0.3730796600762811
bicycle_share,-0.1946008080188516,0.3116134532169733
walked_share,-0.194015964656921,0.33208730934369474
