,PC1,PC2
a,-0.36060713680421336,-0.31031165531345895
b,-0.25465044613855947,0.4857018168625594
c,0.3726824333841982,-0.0863757831443543
car_mode,0.2478417545655754,-0.050177997748361416
transit_mode,-0.20458060089111052,0.40755320424717123
bicycle_mode,-0.2628244473127406,-0.17929360805641928
walked_mode,-0.32239187056086105,-0.30165235516038735
car_share,0.3726824333841982,-0.08637578314435446
transit_share,-0.2546504461385596,0.4857018168625592
bicycle_share,-0.2746197963326556,-0.18627166476828025
walked_share,-0.3328308920886378,-0.30086158749900593
