,PC1,PC2
a,0.44836790131758525,-0.10300851336543282
b,0.004719626860984483,0.5737527084009968
c,-0.442946070566653,-0.13497203563223115
car_mode,-0.13902443410879406,0.007171717168003855
transit_mode,-0.009396558080155992,0.5257800729595312
bicycle_mode,0.19421374285160367,0.020367015902442
walked_mode,0.3475616174109158,-0.07920166957367825
car_share,-0.442946070566653,-0.1349720356322307
transit_share,0.004719626860984524,0.5737527084009966
bicycle_share,0.22057405889247544,-0.02315048440179998
walked_share,0.4241841258259533,-0.10416439505577285
