,subpattern_code,a,b,c,car_mode,transit_mode,bicycle_mode,walked_mode,car_share,transit_share,bicycle_share,walked_share
subpattern_code,1.0,-0.22519985990947078,-0.1498412883195608,0.28320950285740076,0.28509577060488767,-0.1627523190365542,-0.023367898658563275,-0.029048416991141364,0.28320950285740076,-0.1498412883195608,-0.031818514875430824,-0.23230975196248954
a,-0.22519985990947078,1.0,-0.16913207717194756,-0.9139190053638727,-0.3047578819933473,-0.17114639140792262,0.28492828028435063,0.7025711006375582,-0.9139190053638727,-0.16913207717194756,0.37674944137082766,0.9741542500914377
b,-0.1498412883195608,-0.16913207717194756,1.0,-0.2454759904271738,-0.05877229640790604,0.8095324044741928,-0.0028664189652386255,-0.13138106153037885,-0.2454759904271738,1.0,-0.05864952803439692,-0.16599727786474233
c,0.28320950285740076,-0.9139190053638727,-0.2454759904271738,1.0,0.323955681669096,-0.16505455919901188,-0.2790671767260092,-0.6369230739887185,1.0,-0.2454759904271738,-0.346406816676013,-0.889788836959
car_mode,0.28509577060488767,-0.3047578819933473,-0.05877229640790604,0.323955681669096,1.0,0.21190541165428894,0.1257776168824349,0.12778360381031986,0.3239556816690956,-0.05877229640790606,-0.1348899677288309,-0.29198644093746257
transit_mode,-0.1627523190365542,-0.17114639140792262,0.8095324044741928,-0.16505455919901188,0.21190541165428894,1.0,0.10384804143571676,-0.06305969347225181,-0.16505455919901202,0.8095324044741931,-0.026129257285361206,-0.176074720897547
bicycle_mode,-0.023367898658563275,0.28492828028435063,-0.0028664189652386255,-0.2790671767260092,0.1257776168824349,0.10384804143571676,1.0,0.366622504463398,-0.2790671767260093,-0.0028664189652385856,0.862495416841235,0.09341954048710505
walked_mode,-0.029048416991141364,0.7025711006375582,-0.13138106153037885,-0.6369230739887185,0.12778360381031986,-0.06305969347225181,0.366622504463398,1.0,-0.6369230739887186,-0.13138106153037887,0.23588134942900246,0.691438467988986
car_share,0.28320950285740076,-0.9139190053638727,-0.2454759904271738,1.0,0.3239556816690956,-0.16505455919901202,-0.2790671767260093,-0.6369230739887186,1.0,-0.2454759904271738,-0.346406816676013,-0.889788836959
transit_share,-0.1498412883195608,-0.16913207717194756,1.0,-0.2454759904271738,-0.05877229640790606,0.8095324044741931,-0.0028664189652385856,-0.13138106153037887,-0.2454759904271738,1.0,-0.05864952803439692,-0.16599727786474233
bicycle_share,-0.031818514875430824,0.37674944137082766,-0.05864952803439692,-0.346406816676013,-0.1348899677288309,-0.026129257285361206,0.862495416841235,0.23588134942900246,-0.346406816676013,-0.05864952803439692,1.0,0.1577724589478801
walked_share,-0.23230975196248954,0.9741542500914377,-0.16599727786474233,-0.889788836959,-0.29198644093746257,-0.176074720897547,0.09341954048710505,0.691438467988986,-0.889788836959,-0.16599727786474233,0.1577724589478801,1.0
